,text,sentiment,n_pos_words,n_neg_words
6085,"bread , my sweet has so many flaws it would be easy for critics to shred it . it may even fall into the category of films you love to hate . i admit it , i hate to like it .",neg,6,6
6572,"about schmidt belongs to nicholson . gone are the flamboyant mannerisms that are the trademark of several of his performances . as schmidt , nicholson walks with a slow , deliberate gait , chooses his words carefully and subdues his natural exuberance .",pos,2,1
6979,"elegant and eloquent [meditation] on death and that most elusive of passions , love .",pos,3,1
1655,a movie of technical skill and rare depth of intellect and feeling .,pos,1,0
883," . . . bright , intelligent , and humanly funny film .",pos,3,0
7285,what was once original has been co-opted so frequently that it now seems pedestrian .,neg,1,1
3544,"even if it pushes its agenda too forcefully , this remains a film about something , one that attempts and often achieves a level of connection and concern .",pos,1,2
6494,"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane .",pos,2,0
127,it may play well as a double feature with mainstream foreign mush like my big fat greek weddin,neg,2,1
3105,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . it's a buggy drag .",neg,0,1
5994,a model of what films like this should be like .,pos,2,0
2468,"despite its visual virtuosity , 'naqoyqatsi' is banal in its message and the choice of material to convey it .",neg,0,2
7130,borrows from other movies like it in the most ordinary and obvious fashion .,neg,1,0
2819,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,pos,2,1
3338,culkin turns his character into what is basically an anti-harry potter -- right down to the gryffindor scarf .,neg,1,1
3884,more a gunfest than a rock concert .,neg,0,0
4516,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . ,neg,0,3
6602,"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .",neg,4,1
6231,"tambor and clayburgh make an appealing couple  he's understated and sardonic , she's appealingly manic and energetic . both deserve better .",neg,5,2
5723,"with or without ballast tanks , k-19 sinks to a harrison ford low .",neg,0,1
2734,"this hastily mounted production exists only to capitalize on hopkins' inclination to play hannibal lecter again , even though harris has no immediate inclination to provide a fourth book .",neg,4,0
4902,"eventually , they will have a showdown , but , by then , your senses are as mushy as peas and you don't care who fires the winning shot .",neg,2,1
4063,"perfectly pitched between comedy and tragedy , hope and despair , about schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",pos,4,3
6772,a hysterical yet humorless disquisition on the thin line between sucking face and literally sucking face .,neg,0,1
4077,that the e-graveyard holds as many good ideas as bad is the cold comfort that chin's film serves up with style and empathy .,pos,2,3
7343,"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",pos,4,1
2267,it is not a mass-market entertainment but an uncompromising attempt by one artist to think about another .,pos,0,1
1149,none of the characters or plot-lines are fleshed-out enough to build any interest .,neg,1,0
4734,"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",pos,4,0
2770,almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called 'the gift of tears . ,pos,3,1
2235,"lisa rinzler's cinematography may be lovely , but love liza's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension .",neg,4,1
2276,the dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen .,pos,1,3
7299,"unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",neg,2,4
5818,a refreshingly authentic coming-of-age tale .,pos,1,0
4105,"it virtually defines a comedy that's strongly mediocre , with funny bits surfacing every once in a while .",neg,1,2
5830,"the holes in this film remain agape -- holes punched through by an inconsistent , meandering , and sometimes dry plot .",neg,0,2
7166,it's obvious [je-gyu is] trying for poetry ; what he gets instead has all the lyricism of a limerick scrawled in a public restroom .,neg,0,1
1270,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",pos,2,0
723,doesn't add up to much .,neg,0,0
7403,"with we were soldiers , hollywood makes a valiant attempt to tell a story about the vietnam war before the pathology set in .",pos,1,1
5564,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,neg,1,0
5932,"as any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death . on that score , the film certainly doesn't disappoint .",pos,0,4
3755,superb production values & christian bale's charisma make up for a derivative plot .,pos,2,2
3560,"i enjoyed the movie in a superficial way , while never sure what its purpose was .",neg,1,1
6528,"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .",pos,1,1
5955,"the heat of the moment prevails . it cooks conduct in a low , smoky and inviting sizzle .",pos,0,1
1241,"de niro and mcdormand give solid performances , but their screen time is sabotaged by the story's inability to create interest .",neg,2,1
