text,sentiment,n_pos_words,n_neg_words
"this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",pos,0,0
"i don't mind having my heartstrings pulled , but don't treat me like a fool .",neg,0,0
"the cast . . . keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .",pos,0,0
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .",pos,0,0
"i didn't find much fascination in the swinging . what they're doing is a matter of plumbing arrangements and mind games , of no erotic or sensuous charge . but that they are doing it is thought-provoking .",neg,0,0
"a witty , whimsical feature debut .",pos,0,0
"we never truly come to care about the main characters and whether or not they'll wind up together , and michele's spiritual quest is neither amusing nor dramatic enough to sustain interest .",neg,0,0
the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold .,neg,0,0
"it smacks of purely commercial motivation , with no great love for the original .",neg,2,0
"though it pretends to expose the life of male hustlers , it's exploitive without being insightful .",neg,0,0
"this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .",pos,0,0
"you just know something terrible is going to happen . but when it does , you're entirely unprepared .",pos,0,1
polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ?,pos,1,1
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",neg,0,0
not just unlikable . disturbing . disgusting . without any redeeming value whatsoever .,neg,0,1
"another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .",neg,0,1
"considering the harsh locations and demanding stunts , this must have been a difficult shoot , but the movie proves rough going for the audience as well .",neg,0,0
"if damon and affleck attempt another project greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about .",neg,0,0
it's a fairy tale that comes from a renowned indian film culture that allows americans to finally revel in its splendor .,pos,0,0
here's yet another cool crime movie that actually manages to bring something new into the mix .,pos,0,0
"it can't decide if it wants to be a mystery/thriller , a romance or a comedy .",neg,0,0
"schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that's enough to sustain laughs . . .",neg,0,0
"broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed .",pos,0,0
"the château would have been benefited from a sharper , cleaner script before it went in front of the camera . not to mention a sharper , cleaner camera lens .",neg,0,0
"so fiendishly cunning that even the most jaded cinema audiences will leave the auditorium feeling dizzy , confused , and totally disorientated . not to mention absolutely refreshed .",pos,0,0
"a poignant and compelling story about relationships , food of love takes us on a bumpy but satisfying journey of the heart .",pos,1,0
a dreary indulgence .,neg,0,0
the story and characters are nowhere near gripping enough .,neg,0,0
sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser . . . above its paint-by-numbers plot .,neg,1,0
a solidly entertaining little film .,pos,0,0
"blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative . it's also built on a faulty premise , one it follows into melodrama and silliness .",neg,0,1
"i liked the movie , but i know i would have liked it more if it had just gone that one step further . i'm left slightly disappointed that it didn't .",neg,0,0
 . . . spellbinding fun and deliciously exploitative .,pos,1,0
"the cinematic equivalent of patronizing a bar favored by pretentious , untalented artistes who enjoy moaning about their cruel fate .",neg,0,1
"unfolds in a low-key , organic way that encourages you to accept it as life and go with its flow .",pos,0,0
"it's enough to watch huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that chabrol spins .",pos,1,0
the director's twitchy sketchbook style and adroit perspective shifts grow wearisome amid leaden pacing and indifferent craftsmanship ( most notably wretched sound design ) .,neg,0,0
it drowns in sap .,neg,0,0
abysmally patheti,neg,0,0
"at once emotional and richly analytical , the cosby-seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary .",pos,0,0
doesn't amount to much of anything .,neg,0,0
"it's a film that's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio's animated classics .",pos,0,0
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .,pos,0,0
"as dumb and cheesy as they may be , the cartoons look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy .",neg,0,1
one thing is for sure : this movie does not tell you a whole lot about lily chou-chou .,neg,0,0
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .,neg,0,0
done in mostly by a weak script that can't support the epic treatment .,neg,0,0
"a broad , melodramatic estrogen opera that's pretty toxic in its own right .",neg,0,0
"a minor work yet there's no denying the potency of miller's strange , fleeting brew of hopeful perseverance and hopeless closure .",pos,0,0
"terrific as nadia , a russian mail-order bride who comes to america speaking not a word of english , it's kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers .",pos,0,0
the fetid underbelly of fame has never looked uglier .,neg,0,0
"third time's the charm . . . yeah , baby !",pos,0,0
"an absorbing , slice-of-depression life that touches nerves and rings true .",pos,0,0
"i can't remember the last time i saw an audience laugh so much during a movie , but there's only one problem it's supposed to be a drama .",neg,0,0
"too intensely focused on the travails of being hal hartley to function as pastiche , no such thing is hartley's least accessible screed yet .",neg,0,0
"trivial where it should be profound , and hyper-cliched where it should be sincere .",neg,0,0
"[ "" safe conduct "" ] is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage . viva le resistance !",pos,0,0
deserves a place of honor next to nanook as a landmark in film history .,pos,0,0
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists .",pos,1,0
a sub-formulaic slap in the face to seasonal cheer .,neg,0,0
its sheer dynamism is infectious .,pos,0,0
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .",pos,0,0
"even if you can't pronounce "" gyro "" correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries .",pos,0,0
pretentious editing ruins a potentially terrific flick .,neg,0,0
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year .",pos,1,0
adam sandler ! in an art film !,pos,0,0
moonlight mile doesn't quite go the distance but the cast is impressive and they all give life to these broken characters who are trying to make their way through this tragedy .,pos,1,0
it's so badly made on every level that i'm actually having a hard time believing people were paid to make it .,neg,0,0
"ah , the travails of metropolitan life ! alas , another breathless movie about same !",neg,0,0
nice piece of work .,pos,1,0
digital-video documentary about stand-up comedians is a great glimpse into a very different world .,pos,1,0
best enjoyed as a work of fiction inspired by real-life events . those seeking a definitive account of eisenstein's life would do better elsewhere .,pos,1,0
a return to pure disney magic and is enjoyable family fare .,pos,0,0
what a great way to spend 4 units of your day .,pos,1,0
the movie should be credited with remembering his victims .,pos,0,0
"it arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",pos,0,0
"passion , lip-synching , tragedy , and lots of really really high notes . for me , this opera isn't a favorite , so it's a long time before the fat lady sings .",neg,0,0
[woo's] most resonant film since the killer .,pos,0,0
the film didn't convince me that calvin jr . 's barbershop represents some sort of beacon of hope in the middle of chicago's south side .,neg,0,0
"like a documentary version of fight club , shorn of social insight , intellectual pretension and cinematic interest .",neg,0,0
"unfortunately , kapur modernizes a . e . w . mason's story to suit the sensibilities of a young american , a decision that plucks "" the four feathers "" bare .",neg,0,0
a small movie with a big heart .,pos,0,0
"a typically observant , carefully nuanced and intimate french coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it .",pos,0,0
"a slick , engrossing melodrama .",pos,0,0
it's hard to imagine that even very small children will be impressed by this tired retread .,neg,0,0
fairly successful at faking some pretty cool stunts but a complete failure at trying to create some pretty cool characters . and forget about any attempt at a plot !,neg,0,1
apparently reassembled from the cutting-room floor of any given daytime soap .,neg,0,0
the satire is just too easy to be genuinely satisfying .,neg,0,0
"if this movie belonged to a sorority , it would be called beta alpha delta .",neg,0,0
"by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an easy one to review .",neg,0,0
a charming yet poignant tale of the irrevocable ties that bind .,pos,1,0
the entire movie is filled with deja vu moments .,neg,0,0
the thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes ( of which they'll get plenty ) fills me with revulsion .,neg,0,0
it may play well as a double feature with mainstream foreign mush like my big fat greek weddin,neg,0,0
"many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and i don't think that a . c . will help this movie one bit .",pos,0,0
feels less like a change in [herzog's] personal policy than a half-hearted fluke .,neg,0,0
"the most wondrous love story in years , it is a great film .",pos,2,0
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",neg,0,0
"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",pos,1,0
is it a total success ? no . is it something any true film addict will want to check out ? you bet .,pos,0,0
disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,pos,0,0
"not as good as the full monty , but a really strong second effort .",pos,1,0
"a few hours after you've seen it , you forget you've been to the movies .",neg,0,0
"the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops , but there's not enough to the story to fill two hours .",neg,0,0
"'the war of the roses , ' trailer-trash style . entertaining but like shooting fish in a barrel .",neg,0,0
" "" feardotcom "" has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker .",neg,0,0
"chilling , well-acted , and finely directed : david jacobson's dahmer .",pos,0,0
"rife with the rueful , wry humor springing out of yiddish culture and language .",pos,0,0
"it's too harsh to work as a piece of storytelling , but as an intellectual exercise -- an unpleasant debate that's been given the drive of a narrative and that's been acted out -- the believer is nothing less than a provocative piece of work .",pos,0,0
"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",neg,0,0
 . . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qua,pos,1,0
"while glover , the irrepressible eccentric of river's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby's main overall flaw .",neg,1,0
a gentle and engrossing character study .,pos,0,0
"it's the kind of movie that ends up festooning u . s . art house screens for no reason other than the fact that it's in french ( well , mostly ) with english subtitles and is magically 'significant' because of that .",neg,0,0
"although huppert's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun .",neg,1,0
the writing is clever and the cast is appealing .,pos,0,0
"until it goes off the rails in its final 10 or 15 minutes , wendigo , larry fessenden's spooky new thriller , is a refreshingly smart and newfangled variation on several themes derived from far less sophisticated and knowing horror films .",pos,0,0
"too much of storytelling moves away from solondz's social critique , casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries .",pos,0,0
"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively .",pos,1,0
"every once in a while , a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanbo",pos,0,0
it won't be long before you'll spy i spy at a video store near you .,neg,0,0
unfortunately the story and the actors are served with a hack script .,neg,0,0
"passionate , irrational , long-suffering but cruel as a tarantula , helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .",pos,0,1
"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .",pos,0,0
"the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .",pos,0,0
"foster nails the role , giving a tight , focused performance illuminated by shards of feeling .",pos,0,0
"when 'science fiction' takes advantage of the fact that its intended audience hasn't yet had much science , it does a disservice to the audience and to the genre .",neg,0,0
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",pos,2,0
"so routine , familiar and predictable , it raises the possibility that it wrote itself as a newly automated final draft computer program .",neg,0,0
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",neg,0,0
"deflated ending aside , there's much to recommend the film .",pos,0,0
"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara doesn't distinguish itself from the herd .",neg,0,0
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .",pos,0,0
"it's coherent , well shot , and tartly acted , but it wears you down like a dinner guest showing off his doctorate .",neg,0,0
"sound the trumpets : for the first time since desperately seeking susan , madonna doesn't suck as an actress .",pos,0,0
simplistic fluff-ball of whimsy .,neg,0,0
the grey zone gives voice to a story that needs to be heard in the sea of holocaust movies . . . but the film suffers from its own difficulties .,pos,0,0
the rules of attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,neg,0,0
"an unremittingly ugly movie to look at , listen to , and think about , it is quite possibly the sturdiest example yet of why the dv revolution has cheapened the artistry of making a film .",neg,0,0
a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable .,pos,1,0
"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed .",pos,0,0
there's not a comedic moment in this romantic comedy .,neg,0,0
a fake street drama that keeps telling you things instead of showing them .,neg,0,0
michael gerbosi's script is economically packed with telling scenes .,pos,0,0
"the performers are so spot on , it is hard to conceive anyone else in their roles .",pos,0,0
"the histrionic muse still eludes madonna and , playing a charmless witch , she is merely a charmless witch .",neg,0,0
"is red dragon worthy of a place alongside the other hannibal movies ? as hannibal would say , yes , 'it's like having an old friend for dinner' .",pos,0,0
"in spite of featuring a script credited to no fewer than five writers , apparently nobody here bothered to check it twice .",neg,0,0
"behind the glitz , hollywood is sordid and disgusting . quelle surprise !",neg,0,1
"the ensemble cast turns in a collectively stellar performance , and the writing is tight and truthful , full of funny situations and honest observations .",pos,0,0
obstacles are too easily overcome and there isn't much in the way of character development in the script .,neg,0,0
veterans of the dating wars will smirk uneasily at the film's nightmare versions of everyday sex-in-the-city misadventures .,pos,0,0
blue crush is so prolonged and boring it isn't even close to being the barn-burningly bad movie it promised it would be .,neg,0,2
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story .",neg,0,0
"philip k . dick must be turning in his grave , along with my stomach .",neg,0,0
the advantage of a postapocalyptic setting is that it can be made on the cheap . any rock pile will do for a set . reign of fire has the disadvantage of also looking cheap .,neg,0,0
"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",pos,0,0
full of the kind of obnoxious chitchat that only self-aware neurotics engage in .,neg,0,0
the film's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency . it's just filler .,neg,0,0
at 78 minutes it just zings along with vibrance and warmth .,pos,0,0
"birthday girl is an amusing joy ride , with some surprisingly violent moments .",pos,1,0
 . . . a good film that must have baffled the folks in the marketing department .,pos,1,0
an interesting look behind the scenes of chicago-based rock group wilco . . .,pos,0,0
"returning aggressively to his formula of dimwitted comedy and even dimmer characters , sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",neg,0,0
the obnoxious title character provides the drama that gives added clout to this doc .,pos,0,0
a well paced and satisfying little drama that deserved better than a direct-to-video' release .,pos,0,0
"though it draws several decent laughs , it's low-cal woody at best .",neg,1,0
"resident evil is what comes from taking john carpenter's ghosts of mars and eliminating the beheadings . in other words , about as bad a film you're likely to see all year .",neg,0,1
"enjoyably fast-moving , hard-hitting documentary .",pos,0,0
"the most horrific movie experience i've had since "" can't stop the music . "" it may as well be called "" jar-jar binks : the movie . "" it's that painful .",neg,0,0
"a tired , unimaginative and derivative variation of that already-shallow genre .",neg,0,0
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense .",neg,0,0
earnest but heavy-handed .,neg,0,0
the subject of swinging still seems ripe for a documentary -- just not this one .,neg,0,0
"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",pos,0,0
"it makes compelling , provocative and prescient viewing .",pos,0,0
"`martin lawrence live' is so self-pitying , i almost expected there to be a collection taken for the comedian at the end of the show .",neg,0,0
"it's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",neg,0,0
feels familiar and tired .,neg,0,0
"the film may appear naked in its narrative form . . . but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrin",pos,0,0
the whole thing comes off like a particularly amateurish episode of bewitched that takes place during spring break .,neg,0,0
the cumulative effect of the relentless horror on parade numbs the movie's power as a work of drama .,neg,0,0
"the acting by the over-25s lacks spark , with csokas particularly unconnected .",neg,0,0
smith finds amusing juxtapositions that justify his exercise .,pos,0,0
"measured against practically any like-themed film other than its oscar-sweeping franchise predecessor the silence of the lambs , red dragon rates as an exceptional thriller .",pos,0,0
[u]nrelentingly stupid .,neg,0,1
"we started to wonder if   some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",neg,0,0
the mantra behind the project seems to have been 'it's just a kids' flick . ' translation : 'we don't need to try very hard . ,neg,0,0
"enigma looks great , has solid acting and a neat premise . yet why it fails is a riddle wrapped in a mystery inside an enigma .",neg,1,0
"the screenplay sabotages the movie's strengths at almost every juncture . all the characters are stereotypes , and their interaction is numbingly predictable .",neg,0,0
ethan hawke has always fancied himself the bastard child of the beatnik generation and it's all over his chelsea walls .,neg,0,0
has the capability of effecting change and inspiring hope .,pos,0,0
"never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving .",pos,0,0
"the film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from paul's perspective .",pos,0,0
"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .",pos,0,0
"the new insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .",pos,0,0
a heartening tale of small victories and enduring hope .,pos,0,0
newcomer helmer kevin donovan is hamstrung by a badly handled screenplay of what is really an amusing concept  a high-tech tux that transforms its wearer into a superman .,neg,0,0
"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .",pos,0,0
"oh , it's extreme , all right . extremely dumb . extremely confusing . extremely boring .",neg,0,2
"worth seeing once , but its charm quickly fades .",neg,0,0
"choppy , overlong documentary about 'the lifestyle . ",neg,0,0
" . . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts .",neg,0,0
"jones . . . makes a great impression as the writer-director of this little $1 . 8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",pos,1,0
"it's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .",pos,1,0
" "" roger michell ( "" notting hill "" ) directs a morality thriller . """,neg,0,0
it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen .,pos,1,0
this mistaken-identity picture is so film-culture referential that the final product is a ghost .,neg,0,0
"a pint-sized 'goodfellas' designed to appeal to the younger set , it's not a very good movie in any objective sense , but it does mostly hold one's interest .",neg,1,0
shankman . . . and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story .,neg,0,0
" . . . ambition is in short supply in the cinema , and egoyan tackles his themes and explores his characters' crises with seriousness and compassion .",pos,0,0
a frisky and fresh romantic comedy exporing sexual politics and the challenges of friendships between women .,pos,0,0
we do get the distinct impression that this franchise is drawing to a close .,pos,0,0
is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,neg,0,0
poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions .,neg,0,1
shafer's feature doesn't offer much in terms of plot or acting .,neg,0,0
a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal .,pos,0,0
"it's a familiar story , but one that is presented with great sympathy and intelligence .",pos,1,0
"you can watch , giggle and get an adrenaline boost without feeling like you've completely lowered your entertainment standards .",pos,0,0
"from a deceptively simple premise , this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",pos,0,0
"a morality tale whose thought-provoking potential is hampered by a made-for-tv look , rigid performances and an asinine 'twist' that brazenly rips off the sixth sense .",neg,0,0
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,pos,0,1
control-alt-delete simone as quickly as possibl,neg,0,0
the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,pos,0,0
"the whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by .",pos,1,0
"over the years , hollywood has crafted a solid formula for successful animated movies , and ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor .",pos,0,0
"there isn't nearly enough fun here , despite the presence of some appealing ingredients .",neg,1,0
"the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal .",neg,0,0
"one feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism .",pos,0,0
"these are lives worth watching , paths worth following .",pos,0,0
puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .,pos,0,0
bouquet gives a performance that is masterly .,pos,0,0
"more timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food .",pos,0,0
'a' for creativity but comes across more as a sketch for a full-length comedy .,neg,0,0
"when it's all wet , blue crush is highly enjoyable . when it's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper .",neg,0,0
"are monsters born , or made ?",neg,0,0
real women have curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by ferrera and ontiveros .,pos,0,0
"i didn't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",neg,0,0
i'm sure there's a teenage boy out there somewhere who's dying for this kind of entertainment .,neg,0,0
"baran is shockingly devoid of your typical majid majidi shoe-loving , crippled children .",pos,0,0
a mimetic approximation of better films like contempt and 8 1/2 .,neg,0,0
this film is too busy hitting all of its assigned marks to take on any life of its own .,neg,0,0
"might have been better off as a documentary , with less of mr . eyre's uninspired dramatics and more of his sense of observation and outrage .",neg,0,0
"the spaniel-eyed jean reno infuses hubert with a mixture of deadpan cool , wry humor and just the measure of tenderness required to give this comic slugfest some heart .",pos,0,0
"velocity represents everything wrong with ''independent film'' as a commodified , sold-out concept on the american filmmaking scene .",neg,0,0
"coppola's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .",pos,1,0
behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art .,pos,0,0
"[t]here's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",neg,0,0
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,pos,0,0
exactly what it claims to be -- a simple diversion for the kids .,neg,0,0
"the self-serious equilibrium makes its point too well ; a movie , like life , isn't much fun without the highs and lows .",neg,1,0
mediocre fable from burkina faso .,neg,0,0
"nair doesn't use [monsoon wedding] to lament the loss of culture . instead , she sees it as a chance to revitalize what is and always has been remarkable about clung-to traditions .",pos,0,0
polanski has found the perfect material with which to address his own world war ii experience in his signature style .,pos,1,0
"you can see where big bad love is trying to go , but it never quite gets there .",neg,1,1
such an incomprehensible mess that it feels less like bad cinema than like being stuck in a dark pit having a nightmare about bad cinema .,neg,0,2
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson . . . and puke up something like rose red ?",neg,0,0
just dreadful . i don't blame eddie murphy but shouldn't owen wilson know a movie must have a story and a script ?,neg,0,0
a whale of a good time for both children and parents seeking christian-themed fun .,pos,2,0
"the film has [its] moments , but they are few and far between .",neg,0,0
"in a 102-minute film , aaliyah gets at most 20 minutes of screen time . . . . most viewers will wish there had been more of the "" queen "" and less of the "" damned . """,neg,0,0
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .",neg,0,0
"eccentric enough to stave off doldrums , caruso's self-conscious debut is also eminently forgettable .",neg,0,0
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .",pos,0,0
"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .",pos,0,0
"make no mistake , ivans xtc . is a mess .",neg,0,0
oozes condescension from every pore .,neg,0,0
"so young , so smart , such talent , such a wise * * * .",pos,0,0
